Date,Year,Month,CD_UF,PopTotal_UF,state_index,pred.mean,pred.uci,pred.lci
2004-02-01,2004,2,16,669526,16,35.54753661545631,39.10229027700194,31.99278295391068
2004-03-01,2004,3,16,669526,16,66.31557250950672,72.9471297604574,59.68401525855606
2004-04-01,2004,4,16,669526,16,43.16486589019695,47.481352479216646,38.84837930117725
2004-05-01,2004,5,16,669526,16,32.70970806212156,35.98067886833372,29.438737255909405
2004-06-01,2004,6,16,669526,16,35.39817721791237,38.937994939703614,31.858359496121135
2004-07-01,2004,7,16,669526,16,34.95009902528057,38.44510892780863,31.45508912275251
2004-08-01,2004,8,16,669526,16,31.51483288177009,34.6663161699471,28.36334959359308
2004-09-01,2004,9,16,669526,16,34.352661435104835,37.787927578615324,30.917395291594353
2004-10-01,2004,10,16,669526,16,22.105190836502242,24.315709920152468,19.89467175285202
2004-11-01,2004,11,16,669526,16,15.384017947025209,16.922419741727733,13.84561615232269
2004-12-01,2004,12,16,669526,16,21.358393848782573,23.49423323366083,19.222554463904316
2005-01-01,2005,1,16,669526,16,27.183410352996,29.901751388295605,24.465069317696404
2005-02-01,2005,2,16,669526,16,57.80208684950249,63.58229553445274,52.02187816455224
2005-03-01,2005,3,16,669526,16,81.550231058988,89.70525416488681,73.3952079530892
2005-04-01,2005,4,16,669526,16,55.711055283887404,61.28216081227615,50.13994975549866
2005-05-01,2005,5,16,669526,16,47.94436661160284,52.73880327276312,43.149929950442555
2005-06-01,2005,6,16,669526,16,23.89750360702945,26.287253967732397,21.507753246326505
2005-07-01,2005,7,16,669526,16,22.105190836502242,24.315709920152468,19.89467175285202
2005-08-01,2005,8,16,669526,16,23.89750360702945,26.287253967732397,21.507753246326505
2005-09-01,2005,9,16,669526,16,14.786580356849473,16.26523839253442,13.307922321164527
2005-10-01,2005,10,16,669526,16,7.467969877196703,8.214766864916374,6.721172889477033
2005-11-01,2005,11,16,669526,16,11.052595418251121,12.157854960076234,9.94733587642601
2005-12-01,2005,12,16,669526,16,7.617329274740637,8.379062202214701,6.855596347266574
2006-01-01,2006,1,16,669526,16,59.14632142739789,65.06095357013768,53.23168928465811
2006-02-01,2006,2,16,669526,16,53.0225861280966,58.32484474090626,47.72032751528693
2006-03-01,2006,3,16,669526,16,42.716787697565145,46.98846646732166,38.44510892780863
2006-04-01,2006,4,16,669526,16,18.221846500359955,20.044031150395952,16.399661850323962
2006-05-01,2006,5,16,669526,16,15.384017947025209,16.922419741727733,13.84561615232269
2006-06-01,2006,6,16,669526,16,9.110923250179978,10.022015575197976,8.199830925161981
2006-07-01,2006,7,16,669526,16,7.019891684564901,7.721880853021393,6.317902516108411
2006-08-01,2006,8,16,669526,16,8.513485660004243,9.364834226004666,7.662137094003818
2006-09-01,2006,9,16,669526,16,8.812204455092111,9.693424900601322,7.930984009582899
2006-10-01,2006,10,16,669526,16,15.533377344569143,17.086715079026057,13.980039610112229
2006-11-01,2006,11,16,669526,16,14.63722095930554,16.100943055236094,13.173498863374984
2006-12-01,2006,12,16,669526,16,18.072487102816023,19.87973581309763,16.26523839253442
2007-01-01,2007,1,16,669526,16,69.90019805056114,76.89021785561727,62.91017824550502
2007-02-01,2007,2,16,669526,16,83.93998141969094,92.33397956166004,75.54598327772185
2007-03-01,2007,3,16,669526,16,133.97537959690885,147.37291755659976,120.57784163721799
2007-04-01,2007,4,16,669526,16,98.72656177654041,108.59921795419447,88.85390559888637
2007-05-01,2007,5,16,669526,16,70.49763564073689,77.54739920481057,63.447872076663195
2007-06-01,2007,6,16,669526,16,23.001347221765847,25.301481943942434,20.70121249958926
2007-07-01,2007,7,16,669526,16,9.409642045267846,10.350606249794632,8.468677840741062
2007-08-01,2007,8,16,669526,16,9.708360840355715,10.679196924391286,8.737524756320143
2007-09-01,2007,9,16,669526,16,11.35131421333899,12.486445634672888,10.216182792005092
2007-10-01,2007,10,16,669526,16,7.169251082108835,7.886176190319719,6.452325973897952
